ticker,prior_mean_ret,n_events,is_rich
NDAQ,0.538486646071718,13,True
NEE,0.19908870259755596,13,False
NEM,0.010606899906455278,14,False
NFLX,0.1646552587073791,36,False
NKE,-0.11626272115841182,13,False
NOC,0.11502720843177114,10,False
NOW,0.23945489229705935,30,False
NRG,0.056382601231848406,12,False
NSC,0.4083139545303709,10,False
NTAP,0.19312944522675116,13,False
NTRS,0.4705633967777449,12,True
NUE,0.20793716848330115,13,False
NVDA,0.4417786045805392,38,True
NXPI,0.3677830476379728,14,False
O,0.6400388606861073,14,True
ODFL,0.38388128900367563,12,False
OKE,0.4066848811085479,14,False
OMC,0.3905212719937892,13,False
ON,0.4150431735768874,13,False
ORCL,-0.006359516494117738,36,False
ORLY,0.5086846981862833,13,True
OTIS,0.2886492194491098,12,False
OXY,0.13567263791361284,14,False
PANW,0.412081218565629,13,False
PARA,0.6837381013378269,8,True
PAYX,0.40524530704430284,13,False
PCAR,0.4240314808997564,13,True
PEG,0.684016296083915,13,True
PEP,0.2500108283767805,37,False
PFE,0.41970066882657714,37,True
PG,0.28416794165374004,37,False
PGR,0.6002751185964169,13,True
PHM,0.13563384296774694,9,False
PLD,0.09346809133858401,13,False
PM,-0.06573074670761246,13,False
PNC,0.459884044243556,13,True
PPG,-0.04054425553588631,12,False
PPL,0.7252205109932383,13,True
PRU,0.35483546940305566,14,False
PSA,0.4534281052029009,14,True
PSX,0.21833445411703387,12,False
PWR,0.4283226966944137,14,True
PYPL,0.12050199283905541,14,False
QCOM,0.09403338603068061,37,False
RCL,0.1455921832236012,14,False
REGN,0.058324569944360596,11,False
RF,0.6904942214660724,12,True
RJF,0.5985018960637801,13,True
RMD,0.3901987494415126,13,False
ROK,0.1616188981415901,12,False
ROP,0.37411204453421115,12,False
ROST,0.2894090542339821,14,False
RTX,0.007802834618155751,13,False
SBUX,0.32895874480492004,13,False
SCHW,0.3636892655930311,13,False
SHW,0.4743661505939318,13,True
SJM,0.0812024038170392,13,False
SLB,0.4154643884906078,13,False
SMCI,0.11445276683693605,11,False
SNPS,0.5043616835586797,12,True
SO,0.44515967979575016,11,True
SPG,0.34349500155044005,14,False
SPGI,0.5309960153357153,6,True
SRE,0.4218157053313526,13,True
STT,0.38602090899501146,13,False
STX,-0.045604185359271805,13,False
STZ,0.13428365111400398,12,False
SWK,0.48445643249261666,14,True
SYF,0.6172352732978313,13,True
SYK,0.511104743730813,13,True
SYY,0.35295166320810745,13,False
T,0.34341274790067544,13,False
TAP,0.4086506150764497,14,False
TDG,0.2965362622060517,11,False
TER,-0.026081182410714658,13,False
TFC,0.4504963663630731,13,True
TGT,0.3183988787673258,13,False
TJX,0.4019232861699758,14,False
TMO,0.25430027810011824,34,False
TMUS,-0.1898836843602069,12,False
TPR,-0.027449181131234512,12,False
TRV,0.3069766322503611,9,False
TSCO,0.31500197253787504,12,False
TSLA,0.22498441314912693,36,False
TSN,0.3796482735603462,14,False
TT,0.293446007431703,13,False
TTWO,0.1372700050279441,14,False
TXN,-0.016636477514178974,37,False
TXT,0.23517647837797012,13,False
UAL,0.38423188224459714,13,False
ULTA,-0.09904249195539025,14,False
UNH,-0.02321104987541796,29,False
UNP,0.09535226245569906,11,False
UPS,-0.07307646599701507,13,False
URI,-0.17774871938472608,10,False
USB,0.5120967546677465,13,True
V,0.41619811805564816,13,True
VZ,0.16711730747697104,13,False
WFC,-0.0971445270484607,13,False
WMT,0.11471660298361035,14,False
XOM,0.6057382575932558,14,True
